property_type,sectors,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,pooja room,furnish_type,luxury_category,floor_category
flat,miyapur,2.0,2.0,1.0,Under Construction,918.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,mokila,4.0,4.0,2.0,Under Construction,2715.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,sreenivasa nagar,3.0,3.0,3.0,Old Property,1350.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,srinagar colony,4.0,4.0,0.0,Old Property,4100.0,1.0,1.0,semifurnished,Low,Mid Floor
flat,mailardevpally,2.0,2.0,2.0,New Property,1053.0,0.0,0.0,unfurnished,Low,Low Floor
flat,mailardevpally,3.0,3.0,3.0,New Property,1500.0,0.0,0.0,unfurnished,Low,Low Floor
flat,gandimaisamma,2.0,2.0,2.0,Under Construction,1200.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,kukatpally,3.0,3.0,1.0,Moderately Old,1350.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,bachupally,2.0,2.0,2.0,Relatively New,1335.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,5th phase kphb,3.0,4.0,3.0,New Property,1636.0,0.0,1.0,unfurnished,Low,High Floor
flat,kavadiguda,2.0,2.0,1.0,Old Property,800.0,0.0,0.0,semifurnished,Low,Low Floor
flat,hastinapuram,2.0,2.0,1.0,New Property,1000.0,0.0,0.0,unfurnished,Low,Mid Floor
